student_id,mentor_id,parent_id,Week_1_Attendance,Week_2_Attendance,Week_3_Attendance,Week_4_Attendance,Week_5_Attendance,Week_6_Attendance,Week_7_Attendance,Week_8_Attendance,Week_9_Attendance,Week_10_Attendance,Week_11_Attendance,Week_12_Attendance,Attendance_Decline_Score,Is_Declining_Attendance,Average_Attendance,Lowest_Week_Attendance,Highest_Week_Attendance
200001,400001,500001,85,78,79,80,83,84,83,77,91,90,84,75,-2.33,No,82.42,75,91
200002,400002,500002,77,77,87,84,84,71,87,78,81,86,72,73,3.33,No,79.75,71,87
200003,400003,500003,81,88,94,87,82,90,89,85,87,97,94,82,-3.33,No,88,81,97
200004,400004,500004,52,71,53,84,84,64,51,67,54,63,67,50,-1.33,No,63.33,50,84
200005,400005,500005,98,87,100,100,100,89,93,95,89,93,88,91,4.33,No,93.58,87,100
200006,400006,500006,90,86,94,78,87,88,79,92,84,89,90,93,-0.67,No,87.5,78,94
200007,400007,500007,92,76,86,91,83,84,76,86,77,80,89,76,3,No,83,76,92
200008,400008,500008,80,80,76,73,79,74,83,88,76,82,88,80,-4.67,No,79.92,73,88
200009,400009,500009,86,100,92,95,90,87,93,89,100,100,100,95,-5.67,No,93.92,86,100
200010,400010,500010,88,84,80,76,72,68,64,60,56,52,48,44,36,Yes,66,44,88
200011,400011,500011,79,73,73,57,69,54,82,77,67,83,60,62,6.67,No,69.67,54,83
200012,400012,500012,83,83,71,77,83,79,83,75,70,80,72,74,3.67,No,77.5,70,83
200013,400013,500013,94,92,100,87,98,99,95,92,100,100,100,96,-3.33,No,96.08,87,100
200014,400014,500014,89,86,97,89,83,95,95,88,89,85,94,85,2.67,No,89.58,83,97
200015,400015,500015,85,97,99,87,92,87,95,94,93,92,96,83,3.33,No,91.67,83,99
200016,400016,500016,84,87,84,94,84,87,95,83,94,96,80,84,-1.67,No,87.67,80,96
200017,400017,500017,79,87,73,73,85,82,80,86,73,80,86,86,-4.33,No,80.83,73,87
200018,400018,500018,70,66,54,78,76,81,70,70,62,83,54,84,-10.33,No,70.67,54,84
200019,400019,500019,85,98,90,98,100,86,95,86,94,99,85,93,-1.33,No,92.42,85,100
200020,400020,500020,82,78,74,70,66,62,58,54,50,46,42,38,36,Yes,60,38,82
200021,400021,500021,95,88,95,89,99,91,99,97,96,89,99,83,2.33,No,93.33,83,99
200022,400022,500022,71,86,83,73,75,78,83,74,76,74,71,81,4.67,No,77.08,71,86
200023,400023,500023,72,73,85,81,72,85,73,70,84,70,81,81,-0.67,No,77.25,70,85
200024,400024,500024,87,89,87,100,90,93,100,90,90,98,93,93,-7,No,92.5,87,100
200025,400025,500025,82,77,69,79,52,65,70,52,76,81,70,79,-0.67,No,71,52,82
200026,400001,500026,96,99,90,89,93,94,97,83,98,97,90,86,4,No,92.67,83,99
200027,400002,500027,78,75,82,82,82,73,82,86,73,83,76,74,0.67,No,78.83,73,86
200028,400003,500028,98,90,99,91,91,91,84,92,94,99,89,86,4.33,No,92,84,99
200029,400004,500029,78,71,78,84,70,72,73,76,79,70,75,81,0.33,No,75.58,70,84
200030,400005,500030,88,84,80,76,72,68,64,60,56,52,48,44,36,Yes,66,44,88
200031,400006,500031,84,91,93,83,82,95,95,95,82,85,88,90,1.67,No,88.58,82,95
200032,400007,500032,67,72,77,82,68,66,76,80,68,51,64,77,8,No,70.67,51,82
200033,400008,500033,89,80,82,93,86,84,90,95,86,95,96,86,-8.67,No,88.5,80,96
200034,400009,500034,81,85,81,84,75,74,84,77,73,86,82,76,1,No,79.83,73,86
200035,400010,500035,72,70,78,79,77,73,75,75,73,77,70,80,-2.33,No,74.92,70,80
200036,400011,500036,80,89,86,85,91,90,78,92,84,87,87,90,-3,No,86.58,78,92
200037,400012,500037,90,94,87,85,93,93,91,84,97,90,85,95,0.33,No,90.33,84,97
200038,400013,500038,83,70,79,70,74,74,71,85,72,81,71,78,0.67,No,75.67,70,85
200039,400014,500039,64,69,67,80,74,53,66,85,63,81,78,68,-9,No,70.67,53,85
200040,400015,500040,71,67,63,59,55,51,47,43,39,35,31,30,35,Yes,49.25,30,71
