score_id,student_id,subject_name,week_id,test_score,max_score,institute_id
1,100001,English,1,83,100,1
2,100001,Chemistry,1,74,100,1
3,100001,Biology,1,76,100,1
4,100002,English,1,75,100,1
5,100002,Chemistry,1,78,100,1
6,100002,Biology,1,92,100,1
7,100003,English,1,90,100,1
8,100003,Chemistry,1,85,100,1
9,100003,Biology,1,66,100,1
10,100004,English,1,64,100,1
11,100004,Chemistry,1,76,100,1
12,100004,Biology,1,68,100,1
13,100005,English,1,72,100,1
14,100005,Chemistry,1,82,100,1
15,100005,Biology,1,75,100,1
16,100006,English,1,66,100,1
17,100006,Chemistry,1,75,100,1
18,100006,Biology,1,67,100,1
19,100007,English,1,62,100,1
20,100007,Chemistry,1,79,100,1
21,100007,Biology,1,65,100,1
22,100008,English,1,58,100,1
23,100008,Chemistry,1,52,100,1
24,100008,Biology,1,80,100,1
25,100009,English,1,83,100,1
26,100009,Chemistry,1,74,100,1
27,100009,Biology,1,58,100,1
28,100010,English,1,55,100,1
29,100010,Chemistry,1,100,100,1
30,100010,Biology,1,80,100,1
31,100011,English,1,82,100,1
32,100011,Chemistry,1,84,100,1
33,100011,Biology,1,70,100,1
34,100012,English,1,88,100,1
35,100012,Chemistry,1,82,100,1
36,100012,Biology,1,72,100,1
37,100013,English,1,75,100,1
38,100013,Chemistry,1,75,100,1
39,100013,Biology,1,89,100,1
40,100014,English,1,77,100,1
41,100014,Chemistry,1,58,100,1
42,100014,Biology,1,75,100,1
43,100015,English,1,83,100,1
44,100015,Chemistry,1,70,100,1
45,100015,Biology,1,82,100,1
46,100016,English,1,67,100,1
47,100016,Chemistry,1,86,100,1
48,100016,Biology,1,61,100,1
49,100017,English,1,88,100,1
50,100017,Chemistry,1,74,100,1
51,100017,Biology,1,99,100,1
52,100018,English,1,91,100,1
53,100018,Chemistry,1,100,100,1
54,100018,Biology,1,85,100,1
55,100019,English,1,66,100,1
56,100019,Chemistry,1,56,100,1
57,100019,Biology,1,96,100,1
58,100020,English,1,72,100,1
59,100020,Chemistry,1,79,100,1
60,100020,Biology,1,95,100,1
61,100021,English,1,77,100,1
62,100021,Chemistry,1,98,100,1
63,100021,Biology,1,59,100,1
64,100022,English,1,77,100,1
65,100022,Chemistry,1,93,100,1
66,100022,Biology,1,81,100,1
67,100023,English,1,59,100,1
68,100023,Chemistry,1,71,100,1
69,100023,Biology,1,100,100,1
70,100024,English,1,52,100,1
71,100024,Chemistry,1,44,100,1
72,100024,Biology,1,77,100,1
73,100025,English,1,86,100,1
74,100025,Chemistry,1,69,100,1
75,100025,Biology,1,61,100,1
76,100026,English,1,82,100,1
77,100026,Chemistry,1,83,100,1
78,100026,Biology,1,66,100,1
79,100027,English,1,83,100,1
80,100027,Chemistry,1,95,100,1
81,100027,Biology,1,91,100,1
82,100028,English,1,65,100,1
83,100028,Chemistry,1,86,100,1
84,100028,Biology,1,78,100,1
85,100029,English,1,74,100,1
86,100029,Chemistry,1,68,100,1
87,100029,Biology,1,73,100,1
88,100030,English,1,64,100,1
89,100030,Chemistry,1,90,100,1
90,100030,Biology,1,65,100,1
91,100031,English,1,83,100,1
92,100031,Chemistry,1,73,100,1
93,100031,Biology,1,79,100,1
94,100032,English,1,74,100,1
95,100032,Chemistry,1,60,100,1
96,100032,Biology,1,81,100,1
97,100033,English,1,86,100,1
98,100033,Chemistry,1,85,100,1
99,100033,Biology,1,81,100,1
100,100034,English,1,84,100,1
101,100034,Chemistry,1,100,100,1
102,100034,Biology,1,72,100,1
103,100035,English,1,67,100,1
104,100035,Chemistry,1,90,100,1
105,100035,Biology,1,83,100,1
106,100036,English,1,63,100,1
107,100036,Chemistry,1,67,100,1
108,100036,Biology,1,99,100,1
109,100037,English,1,64,100,1
110,100037,Chemistry,1,100,100,1
111,100037,Biology,1,75,100,1
112,100038,English,1,76,100,1
113,100038,Chemistry,1,78,100,1
114,100038,Biology,1,85,100,1
115,100039,English,1,68,100,1
116,100039,Chemistry,1,60,100,1
117,100039,Biology,1,80,100,1
118,100040,English,1,75,100,1
119,100040,Chemistry,1,56,100,1
120,100040,Biology,1,66,100,1
121,100041,English,1,63,100,1
122,100041,Chemistry,1,87,100,1
123,100041,Biology,1,76,100,1
124,100042,English,1,78,100,1
125,100042,Chemistry,1,88,100,1
126,100042,Biology,1,83,100,1
127,100043,English,1,87,100,1
128,100043,Chemistry,1,63,100,1
129,100043,Biology,1,65,100,1
130,100044,English,1,83,100,1
131,100044,Chemistry,1,55,100,1
132,100044,Biology,1,94,100,1
133,100045,English,1,71,100,1
134,100045,Chemistry,1,93,100,1
135,100045,Biology,1,89,100,1
136,100046,English,1,96,100,1
137,100046,Chemistry,1,82,100,1
138,100046,Biology,1,83,100,1
139,100047,English,1,96,100,1
140,100047,Chemistry,1,85,100,1
141,100047,Biology,1,80,100,1
142,100048,English,1,60,100,1
143,100048,Chemistry,1,44,100,1
144,100048,Biology,1,61,100,1
145,100049,English,1,86,100,1
146,100049,Chemistry,1,58,100,1
147,100049,Biology,1,96,100,1
148,100050,English,1,71,100,1
149,100050,Chemistry,1,97,100,1
150,100050,Biology,1,87,100,1
151,100051,English,1,54,100,1
152,100051,Chemistry,1,82,100,1
153,100051,Biology,1,80,100,1
154,100052,English,1,71,100,1
155,100052,Chemistry,1,73,100,1
156,100052,Biology,1,78,100,1
157,100053,English,1,89,100,1
158,100053,Chemistry,1,88,100,1
159,100053,Biology,1,78,100,1
160,100054,English,1,78,100,1
161,100054,Chemistry,1,92,100,1
162,100054,Biology,1,100,100,1
163,100055,English,1,57,100,1
164,100055,Chemistry,1,77,100,1
165,100055,Biology,1,82,100,1
166,100056,English,1,72,100,1
167,100056,Chemistry,1,45,100,1
168,100056,Biology,1,74,100,1
169,100057,English,1,78,100,1
170,100057,Chemistry,1,88,100,1
171,100057,Biology,1,73,100,1
172,100058,English,1,81,100,1
173,100058,Chemistry,1,69,100,1
174,100058,Biology,1,84,100,1
175,100059,English,1,88,100,1
176,100059,Chemistry,1,79,100,1
177,100059,Biology,1,77,100,1
178,100060,English,1,89,100,1
179,100060,Chemistry,1,67,100,1
180,100060,Biology,1,80,100,1
181,100061,English,1,61,100,1
182,100061,Chemistry,1,79,100,1
183,100061,Biology,1,65,100,1
184,100062,English,1,81,100,1
185,100062,Chemistry,1,72,100,1
186,100062,Biology,1,88,100,1
187,100063,English,1,67,100,1
188,100063,Chemistry,1,80,100,1
189,100063,Biology,1,73,100,1
190,100064,English,1,47,100,1
191,100064,Chemistry,1,55,100,1
192,100064,Biology,1,84,100,1
193,100065,English,1,88,100,1
194,100065,Chemistry,1,86,100,1
195,100065,Biology,1,97,100,1
196,100066,English,1,87,100,1
197,100066,Chemistry,1,67,100,1
198,100066,Biology,1,77,100,1
199,100067,English,1,71,100,1
200,100067,Chemistry,1,90,100,1
201,100067,Biology,1,92,100,1
202,100068,English,1,78,100,1
203,100068,Chemistry,1,96,100,1
204,100068,Biology,1,86,100,1
205,100069,English,1,98,100,1
206,100069,Chemistry,1,65,100,1
207,100069,Biology,1,77,100,1
208,100070,English,1,55,100,1
209,100070,Chemistry,1,85,100,1
210,100070,Biology,1,90,100,1
211,100071,English,1,72,100,1
212,100071,Chemistry,1,95,100,1
213,100071,Biology,1,96,100,1
214,100072,English,1,52,100,1
215,100072,Chemistry,1,54,100,1
216,100072,Biology,1,60,100,1
217,100073,English,1,100,100,1
218,100073,Chemistry,1,63,100,1
219,100073,Biology,1,80,100,1
220,100074,English,1,81,100,1
221,100074,Chemistry,1,96,100,1
